Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Sheikha Al Mayassa,"Founder, Doha Film Institute",female,0,4,0,female,
Sheila Nirenberg,Neuroscientist,female,0,1,0,female,
Sheila Patek,"Biologist, biomechanics researcher",female,0,7,3,female,
Shereen El Feki,Arab sexuality expert,female,0,7,1,female,
Sherry Turkle,Cultural analyst,female,0,4,0,female,
Sheryl Sandberg,"COO, Facebook",female,0,5,0,female,
Shirin Neshat,Iranian visual artist,female,0,11,0,female,
Shivani Siroya,Mobile finance entrepreneur,female,0,4,1,female,
Shonda Rhimes,Writer and producer,female,0,7,0,female,
Shree Bose,Science fair winner,female,0,6,0,female,
Sirena Huang,Violinist,female,0,16,0,female,
Siyanda Mohutsiwa,Writer,female,0,7,0,female,
Sonia Shah,Science writer,female,0,3,0,female,
Stacey Baker,Photo editor,female,0,3,0,female,
Stacey Kramer,Brand strategist,female,0,4,0,female,
Stefana Broadbent,Tech anthropologist,female,0,5,2,female,
Stella Young,"Comedian, journalist, activist",female,0,4,0,female,
Sue Austin,Performance artist,female,0,8,0,female,
Suheir Hammad,"Poet, playwright",female,0,9,0,female,
Suki Kim,Writer,female,1,6,0,female,
Sunitha Krishnan,Anti-trafficking crusader,female,0,3,1,female,
Sunni Brown,Visualizer and gamestorming,female,0,7,0,female,
Susan Blackmore,Memeticist,female,0,2,1,female,
Susan Colantuono,Leadership expert,female,0,1,0,female,
Susan Lim,Surgeon,female,0,3,0,female,
Susan Solomon,Stem cell research advocate,female,0,4,2,female,
Suzana Herculano-Houzel,Neuroscientist,female,0,6,3,female,
Suzanne Lee,Designer,female,0,3,0,female,
Suzanne Talhouk,Poet and language advocate,female,0,3,1,female,
Sylvia Earle,Oceanographer,female,0,8,3,female,
Tabetha Boyajian,Astronomer,female,0,2,0,female,
Taiye Selasi,Author,female,0,4,0,female,
Tali Sharot,Cognitive neuroscientist,female,0,5,1,female,
Talithia Williams,Statistician,female,0,4,0,female,
Tan Le,Entrepreneur,female,0,4,0,female,
Tania Luna,Surprisologist,female,0,11,1,female,
Tania Simoncelli,Policy expert,female,0,10,0,female,
Taryn Simon,Photographer,female,0,6,0,female,
Tavi Gevinson,Blogger and fashion icon,female,0,2,1,female,
Temple Grandin,"Livestock handling designer, autism activist",female,0,8,1,female,
Thandie Newton,Actor,female,0,5,0,female,
Thelma Golden,Curator,female,0,7,0,female,
Toni Griffin,Place maker,female,0,1,0,female,
Tracy Chevalier,Author,female,0,5,0,female,
Uldus Bakhtiozina,photographer + visual artist,female,0,2,0,female,
Vern„Å Myers,Diversity advocate,female,0,7,2,female,
Vicki Arroyo,Environmental policy influencer,female,0,1,0,female,
Virginia Postrel,Journalist,female,0,3,0,female,
Wendy Chung,Geneticist,female,0,3,0,female,
Wendy Freedman,Astronomer,female,0,2,0,female,
Yang Lan,"Media mogul, TV host",female,0,7,0,female,
Yassmin Abdel-Magied,"Mechanical engineer, social advocate",female,0,8,3,female,
Yoruba Richen,Documentary filmmaker,female,0,2,0,female,
Zahra' Langhi,Activist,female,0,2,0,female,
Zainab Salbi,Activist and social entrepreneur,female,0,10,1,female,
Zeynep Tufekci,Techno-sociologist,female,0,3,1,female,
Eddi Reader,Singer/songwriter,last case,1,9,2,female,
Leslie Morgan Steiner,Writer,last case,2,11,5,female,
McKenna Pope,Teen activist,last case,2,6,3,female,
Nancy Frates,Mother + ALS Advocate,last case,2,4,4,female,
Susan Savage-Rumbaugh,Primate authority,last case,2,6,3,female,
Carol Dweck,Psychologist,nonbinary,0,1,3,female,
Charmian Gooch,Anti-corruption activist,nonbinary,0,1,3,female,
Melinda Gates,Philanthropist,nonbinary,0,2,4,female,
Sheryl WuDunn,"Author, journalist",nonbinary,0,2,4,female,
Tierney Thys,Marine biologist,nonbinary,0,3,6,female,
Becci Manson,Photo Retoucher,undetected,0,3,2,female,
