author,occupation,description,gender
Trevor Aaronson,Journalist,"An investigative journalist who reports on the FBI_ã_s misuse of informants in counterterrorism operations, Trevor Aaronson asks the question: Is the United States catching terrorists or creating them?",male
Tristram Stuart,Author and Activist,"Tristram Stuart sounds the warning bell on global food waste, calling for us to change the systems whereby large quantities of produce and other foods end up in trash heaps.",male
Tristram Wyatt,Zoologist,"Do humans have pheromones? Tristram Wyatt is on the case. A researcher at Oxford, Wyatt is interested in the evolution of pheromones throughout the animal kingdom.",male
Trita Parsi,Political scientist,"Trita Parsi delves into Middle Eastern history and politics, uncovering fresh perspectives on Iranian, Israeli, and U.S. relations _ã and discovers potential solutions to brewing conflicts.",male
Tshering Tobgay,Prime Minister of Bhutan,"Acting on his mandate to move Bhutan into the 21st century, Prime Minister Tshering Tobgay is transforming his nation _ã while maintaining its _ãGross National Happiness._ã",male
Tyler DeWitt,Science enthusiast,"Tyler DeWitt recognizes that textbooks are not the way to get young people interested in science. Instead, he teaches science by making it fun and fantastical.",male
Tyrone Hayes,Biologist,Tyrone Hayes studies frogs and amphibians _ã and the effects on their bodies of common farming chemicals.,male
Ueli Gegenschatz,Aerialist,"Ueli Gegenschatz took flight just about every way a human can: paragliding, skydiving, BASE jumping (from the Eiffel Tower), and most breathtakingly: by donning a wingsuit and soaring.",male
Uri Hasson,Neuroscientist,"Why do great thoughts and stories resonate so strongly with so many people, and how do we communicate them? Using fMRI experiments, Uri Hasson is looking for the answers.  ",male
Ursus Wehrli,Comedian,Comedian and cabaret artist Ursus Wehrli is on a crusade to tidy up art.,male
Usman Riaz,Percussive guitarist,"Young guitarist Usman Riaz pulls a rich, swirling sound out of the acoustic guitar.",male
Van Jones,Social justice and green energy activist,Van Jones sees a clear link between soclal justice and green energy _ã and works for both.,male
Vik Muniz,Artist,"Vik Muniz delights in subverting a viewer's expectations. He uses unexpected materials to create portraits, landscapes and still lifes, which he then photographs.",male
Vilayanur Ramachandran,Brain expert,"Neurologist V.S. Ramachandran looks deep into the brain_ã_s most basic mechanisms. By working with those who have very specific mental disabilities caused by brain injury or stroke, he can map functions of the mind to physical structures of the brain. ",male
Vilayanur Ramachandran,Brain expert,"Neurologist V.S. Ramachandran looks deep into the brain_ã_s most basic mechanisms. By working with those who have very specific mental disabilities caused by brain injury or stroke, he can map functions of the mind to physical structures of the brain. ",male
Vinay Venkatraman,Designer,"Vinay Venkatraman aims to design technological devices for the ""bottom of the pyramid"" rather than simply for the affluent.",male
Vincent Cochetel,Humanitarian,Vincent Cochetel is the Director of the Bureau for Europe at the United Nations High Commissioner for Refugees (UNHCR).,male
Vincent Moon,Filmmaker,Global wanderer Vincent Moon explores and documents vanishing traditions with his evocative ethnomusical films. ,male
Vint Cerf,Computer scientist,"Vint Cerf, now the chief Internet evangelist at Google, helped lay the foundations for the internet as we know it more than 30 years ago.",male
Vusi Mahlasela,"Musician, activist","South African singer-songwriter Vusi Mahlasela was a crucial artistic voice during the fight against apartheid, and now in the new modern-day nation. Blending traditional African music with soul and blues, his music showcases powerful vocals and poetic lyrics.",male
Wadah Khanfar,Journalist,"As the Director General of Al Jazeera from 2003-2011, Wadah Khanfar worked to bring rare liberties like information, transparency and dissenting voices to repressive states and political hot zones.",male
Wade Davis,"Anthropologist, ethnobotanist","A National Geographic Explorer-in-Residence, Wade Davis has been described as _ãa rare combination of scientist, scholar, poet and passionate defender of all of life_ã_s diversity._ã",male
Wael Ghonim,Internet activist and computer engineer,"Wael Ghonim believes that the Internet can be the most powerful platform for connecting humanity, if we can bring civility and thoughtful conversations back to it.",male
Wayne McGregor,Dancer and Choreographer,Wayne McGregor and his dancers explore the uncharted territory where mind and movement intersect.,male
Wes Moore,Author and advocate,"Wes Moore's life transformed with these words out of his mother's mouth: ""I'm sending you to military school."" The author of the book, ""The Other Wes Moore,"" he is now a vocal advocate for America's youth as well as for fellow veterans returning from Iraq and Afghanistan.",male
Will Marshall,Space scientist,"At Planet Labs, Will Marshall is helping share near-real-time images of our planet, from a constellation of earth-observing satellites.",male
Will Potter,Investigative journalist,"Award-winning journalist and author, Will Potter focuses on the animal rights and environmental movements, and civil liberties in the post-9/11 era.",male
Willard Wigan,Micro-sculptor,"Willard Wigan sculpts figures small enough to fit on the head of a pin. To create these microscopic masterpieces, he works diligently through the stillest hours of the night, between his own heartbeats.",male
William Black,Academic,"William Black is a professor of economics and law at University of Missouri, Kansas City.",male
William Kamkwamba,Inventor,"To power his family's home, young William Kamkwamba built an electricity-producing windmill from spare parts and scrap _ã starting him on a journey detailed in the book and film ""The Boy Who Harnessed the Wind.""",male
William McDonough,Architect,"Architect William McDonough believes green design can prevent environmental disaster and drive economic growth. He champions _ãcradle to cradle_ã design, which considers a product's full life cycle _ã from creation with sustainable materials to a recycled afterlife. ",male
William Ury,Mediator,"William Ury is a mediator, writer and speaker, working with conflicts ranging from family feuds to boardroom battles to ethnic wars. He's the author of ""Getting to Yes.""",male
Willie Smits,Conservationist,"Willie Smits has devoted his life to saving the forest habitat of orangutans, the ""thinkers of the jungle."" As towns, farms and wars encroach on native forests, Smits works to save what is left.",male
Wingham Rowan,Policy entrepreneur,Wingham Rowan's work bridges the gap between flexible work schedules and modern financial markets. ,male
Wolfgang Kessling,Physicist,Wolfgang Kessling and his team at Transsolar designed the solar cooling and comfort concepts that helped Qatar win the bid for the 2022 football World Cup.,male
Woody Norris,Inventor,"Woody Norris is a serial inventor of electronics, tools and cutting-edge sonic equipment _ã such as the LRAD acoustic cannon.",male
Xavier Vilalta,Architect and urbanist,"Barcelona-based architect Xavier Vilalta works in Europe, Africa and the Middle East. He adopts and updates traditional design principles to construct modern buildings that truly suit their environment.",male
Xu Liu,Neuroscientist,"In his groundbreaking work, Xu Liu investigated how to activate and deactivate specific memories in mice.",male
Yanis Varoufakis,Economist and professor,"Yanis Varoufakis thinks we need a radically new way of thinking about the economy, finance and capitalism.",male
Yann Arthus-Bertrand,Photographer,"With photography, Yann Arthus-Bertrand has captured the beauty of the Earth. Through video and film, his latest projects bind together ecology and humanism. For him, it's all about living together. ",male
