,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
330,74,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,2
331,747,0,3,0,0,1,1,0,1,0,0,0,0,1,0,1,5
332,747s,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
333,750,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
334,76,0,0,0,0,5,0,0,1,1,1,0,0,3,1,2,0
335,77,0,0,0,4,1,0,0,0,0,3,0,1,1,0,2,0
336,78,0,0,3,0,1,1,0,0,0,0,0,1,0,1,0,1
337,780,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338,79,2,1,0,1,0,0,1,0,1,0,0,1,1,2,0,0
339,7th,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
340,80s,0,2,7,0,6,4,5,1,3,1,0,4,6,3,2,1
341,81,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
342,82,0,0,0,0,1,0,1,2,1,0,0,0,0,1,2,1
343,822,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
344,83,1,0,0,0,1,4,0,0,1,0,0,0,0,1,1,1
345,84,0,0,0,1,1,1,0,1,2,0,0,2,0,1,0,2
346,841,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
347,85,1,1,2,1,3,5,1,1,0,0,1,2,0,2,5,3
348,855,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
349,86,0,0,3,0,2,1,0,0,0,1,1,0,0,0,2,0
350,87,0,0,2,1,1,0,0,4,0,0,0,0,0,2,0,2
351,88,1,0,1,2,2,2,0,0,0,0,1,0,3,0,0,0
352,89,0,0,1,0,1,4,0,0,0,0,2,1,0,0,1,0
353,900,1,0,1,2,3,1,0,1,1,2,3,2,2,1,6,0
354,90s,0,0,0,2,2,4,4,4,3,1,0,3,8,2,2,1
355,91,2,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0
356,911,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0
357,92,0,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2
358,93,1,0,1,5,1,2,0,1,2,0,2,1,1,2,6,1
359,94,2,1,1,2,1,0,0,0,1,1,2,1,0,3,3,0
360,95,1,0,2,7,4,3,2,3,2,5,0,3,4,2,1,0
361,96,0,2,1,1,2,4,2,5,0,0,0,1,3,2,2,1
362,97,0,0,1,0,2,3,0,2,1,0,1,1,2,0,0,0
363,98,1,3,1,0,5,0,0,0,0,0,1,0,0,0,1,0
364,99,0,2,3,3,5,2,3,5,6,3,1,4,4,6,4,9
365,9th,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
366,aa,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,0
367,aaaah,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
368,aah,0,0,0,1,3,0,1,0,0,5,0,0,0,0,0,0
369,aaron,0,0,0,0,1,0,0,1,0,2,0,0,10,0,3,0
370,ab,0,0,0,35,0,0,1,0,0,2,0,0,0,0,3,0
371,aback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
372,abandon,0,1,0,1,0,0,2,1,2,2,2,3,1,0,0,1
373,abandoned,3,0,0,0,4,1,1,1,0,1,2,2,4,4,2,10
374,abandoning,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
