subject,verb,object
I,going,"[to, have, a, moment, to, think]"
I,try,"[to, make, something, out, of, it]"
I,going,"[that, to, play]"
this,have,[what]
I,count,"[iPod, cellphone, computer]"
this,has,[nothing]
I,did,[research]
I,found,[what]
I,memorize,[it]
it,vibrates,[wave]
it,produces,[wave]
that,Placing,"[finger, string, length]"
that,changes,[frequency]
I,call,[it]
I,love,[design]
mom,asked,[me]
you,like,"[to, play, the, violin, or, the, piano]"
I,going,"[to, lock, myself, on, that, bench, the, whole, day]"
I,want,"[to, practice]"
I,hide,[it]
people,relate,[it]
you,like,[it]
violins,sound,[same]
I,love,[entertainment]
I,got,[violin]
I,tried,"[to, play, around, on, it]"
it,sound,[way]
I,heard,[joke]
lady,came,[him]
lady,complimented,[him]
he,picked,[violin]
I,hear,[anything]
I,thought,[more]
I,going,"[to, be, here, to, perform]"
I,learned,[more]
I,enjoyed,[more]
I,like,"[to, say, this]"
I,like,"[to, tell, you, the, tale, of, one, of, my, favorite, projects]"
that,has,[potential]
It,addresses,"[one, cause]"
It,breathing,[smoke]
you,believe,[that]
we,make,"[cooking, fuels]"
we,make,[stoves]
I,going,"[to, talk, to, you, about, the, wonders, of, carbon, macro, -, tubes, ,, which, is, charcoal]"
You,see,[scenes]
that,affect,[people]
people,need,"[to, cook]"
they,harvest,[wood]
they,make,[charcoal]
They,know,[choice]
they,have,[choice]
energy,cook,[way]
they,like,[food]
they,do,[what]
You,find,[families]
You,cut,[it]
You,make,[charcoal]
I,took,[team]
we,worked,[team]
he,built,[that]
you,take,"[waste, paper]"
you,compress,[it]
you,make,[briquettes]
they,took,[briquettes]
they,test,[them]
they,found,[that]
you,see,"[US, Peace, Corps]"
we,wanted,"[What, to, do]"
we,wanted,"[to, make, a, fuel, that, used, something, that, was, readily, available, on, the, local, level]"
that,used,[something]
You,see,[these]
you,extract,[juice]
It,has,[use]
It,has,[value]
they,feed,[it]
they,burn,[it]
we,wanted,"[What, to, do]"
we,wanted,"[to, find, a, way, to, harness, this, waste, resource, and, turn, it, into, a, fuel, that, would, be, something, that, people, could, easily, cook, with, ,, something, like, charcoal]"
people,cook,[something]
you,start,[kiln]
you,take,[kiln]
you,make,[that]
you,seal,[it]
you,end,[it]
you,burn,[this]
it,burns,"[to, be, useful, for, cooking]"
we,had,"[to, try, to, find, a, way, to, form, it, into, useful, briquettes]"
he,remembered,[dish]
mom,used,"[to, make, for, him]"
you,make,[porridge]
you,use,[which]
we,did,[this]
we,made,[that]
I,going,"[to, take, you, to, a, different, continent]"
this,produces,[fires]
you,see,"[health, impacts]"
women,affected,[it]
we,wanted,"[to, see, if, we, could, introduce, this, charcoal, -, making, technology, there]"
we,introduce,[technology]
they,have,[sugarcane]
they,have,[cassava]
that,stop,[us]
we,use,[what]
they,used,[which]
we,did,[tests]
you,see,"[charcoal, briquettes, cow, dung]"
