,doc,subject,verb,object
530,3,i,going,"[to, teach, them, about]"
531,3,i,did,"[pre, -, test]"
532,3,i,learned,[lot]
533,3,country,has,"[child, mortality]"
534,3,i,put,[them]
535,3,one,has,"[child, mortality]"
536,3,i,put,[you]
537,3,i,did,[it]
538,3,i,got,"[confidence, interval]"
539,3,i,got,"[right, answer]"
540,3,i,realized,[discovery]
541,3,i,compiling,[report]
542,3,i,gave,[bananas]
543,3,i,did,[study]
544,3,that,hands,"[nobel, prize]"
545,3,we,did,[software]
546,3,which,displays,[it]
547,3,i,put,"[fertility, rate]"
548,3,they,said,[what]
549,3,i,asked,[them]
550,3,you,think,[what]
551,3,you,mean,[what]
552,3,i,display,[what]
553,3,i,put,"[fertility, rate, number]"
554,3,we,have,[data]
555,3,i,put,"[life, expectancy]"
556,3,they,was,"[families, lives]"
557,3,they,had,"[families, lives]"
558,3,they,had,[families]
559,3,they,had,[lives]
560,3,we,want,"[to, see, the, change]"
561,3,countries,got,[families]
562,3,they,live,[families]
563,3,they,got,[lives]
564,3,we,stopped,[world]
565,3,they,get,"[life, families]"
566,3,you,have,[bangladesh]
567,3,imams,start,"[to, promote, family, planning]"
568,3,epidemic,move,[world]
569,3,that,takes,"[life, expectancy, rest]"
570,3,we,have,"[lives, family]"
571,3,we,have,[world]
572,3,me,make,[comparison]
573,3,america,had,"[families, life]"
574,3,vietnam,had,"[families, lives]"
575,3,they,give,[planning]
576,3,they,go,[planning]
577,3,it,moves,[planning]
578,3,we,have,"[life, expectancy, family, size]"
579,3,we,underestimate,[change]
580,3,we,saw,[change]
581,3,we,display,[distribution]
582,3,they,take,[percent]
583,3,people,giving,[aid]
584,3,we,have,[most]
585,3,they,have,[percent]
586,3,we,heard,[it]
587,3,i,show,"[you, africa]"
588,3,it,has,[everything]
589,3,we,put,"[east, europe]"
590,3,we,put,"[east, asia]"
591,3,we,put,"[south, asia]"
592,3,we,have,[most]
593,3,we,have,[world]
594,3,we,have,[people]
595,3,i,change,[this]
596,3,i,take,[gdp]
597,3,i,turn,[data]
598,3,i,take,[regions]
599,3,you,have,[oecd]
600,3,you,have,[africa]
601,3,we,take,[states]
602,3,we,put,[them]
603,3,we,expand,[axis]
604,3,i,give,[dimension]
605,3,i,have,[money]
606,3,i,have,[possibility]
607,3,me,split,[africa]
608,3,i,go,[africa]
609,3,i,split,[africa]
610,3,they,sell,[sugar]
611,3,they,sell,[textiles]
612,3,we,make,[which]
613,3,i,split,"[south, asia]"
614,3,i,split,[states]
615,3,that,includes,[children]
616,3,we,is,[difference]
617,3,we,see,[difference]
618,3,we,have,"[to, go, to, cuba, to, find, a, healthy, country, in, latin, america]"
619,3,chile,have,"[child, mortality]"
620,3,we,have,"[income, countries]"
621,3,we,get,[pattern]
622,3,it,starts,"[to, move]"
623,3,he,brought,[health]
624,3,xiaoping,came,"[money, them]"
625,3,xiaoping,brought,[money]
626,3,xiaoping,brought,[them]
627,3,which,shows,[pattern]
628,3,i,like,"[to, bring, you, back, to, about, here, ,, at, 1960]"
629,3,i,like,"[to, compare, south, korea, ,, which, is, this, one, ,, with, brazil, ,, which, is, this, one]"
630,3,i,like,"[to, compare, uganda, ,, which, is, there]"
631,3,i,run,[it]
632,3,korea,making,[advancement]
633,3,they,cached,[oil]
634,3,they,got,[money]
635,3,health,bought,[money]
636,3,you,have,"[to, invest, in, health]"
637,3,you,have,"[to, get, kids, into, schooling]"
638,3,you,have,"[to, train, health, staff]"
639,3,you,have,"[to, educate, the, population]"
640,3,zayed,did,[that]
641,3,he,brought,[country]
642,3,we,got,[appearance]
643,3,countries,tend,"[to, use, their, money, better, than, they, used, in, the, past]"
644,3,we,see,[uganda]
645,3,i,split,[uganda]
646,3,i,split,"[south, africa]"
647,3,we,tend,"[to, discuss, on, what, solutions, there, should, be, in, africa]"
648,3,you,discuss,[access]
