,doc,subject,verb,object
725,725,i,work,"[to, develop, a, process]"
726,725,you,start,[kiln]
727,725,you,take,[kiln]
728,725,you,make,[that]
729,725,you,seal,[it]
730,725,you,end,[it]
731,725,you,burn,[this]
732,725,it,burn,"[to, be, useful, for, cooking]"
733,725,we,have,"[to, try, to, find, a, way, to, form, it, into, useful, briquettes]"
734,725,he,remember,[dish]
735,725,mom,use,"[to, make, for, him]"
736,725,you,make,[porridge]
737,725,you,use,"[which, to, bind, together, the, charcoal, briquettes]"
738,725,we,do,[this]
739,725,we,make,[that]
740,725,i,go,"[to, take, you, to, a, different, continent]"
741,725,this,produce,[fires]
742,725,you,see,"[health, impacts]"
743,725,women,affect,[it]
744,725,we,want,"[to, see, if, we, could, introduce, this, charcoal, -, making, technology, there]"
745,725,we,introduce,[technology]
746,725,they,have,[cassava]
747,725,that,stop,[us]
748,725,we,use,[what]
749,725,they,use,[which]
750,725,we,do,[tests]
751,725,you,see,"[charcoal, briquettes]"
752,725,it,heat,[water]
753,725,we,find,[that]
754,725,we,do,[comparisons]
755,725,briquettes,crumble,[energy]
756,725,we,lose,[energy]
757,725,we,want,"[to, try, to, find, a, way, to, make, a, stronger, briquette, so, that, we, could, compete, with, wood, charcoal, in, the, markets, in, haiti]"
758,725,we,take,"[instron, machine]"
759,725,we,figure,[sort]
760,725,you,get,[performance]
761,725,we,develop,"[cost, press]"
762,725,you,produce,[charcoal]
763,725,it,burn,"[cost, press]"
764,725,we,have,[product]
765,725,you,buy,[what]
766,725,this,implement,[portion]
767,725,this,save,[portion]
768,725,i,have,[friend]
769,725,who,do,"[risk, analysis]"
770,725,you,prevent,[deaths]
771,725,we,have,[way]
772,725,that,use,"[waste, material]"
773,725,i,take,[that]
774,725,you,saw,[what]
775,725,you,imagine,[thing]
776,725,you,need,"[to, form, briquettes]"
777,725,i,bring,[samples]
778,725,we,pass,[these]
779,725,i,think,[one]
780,725,we,have,"[to, teach, people, how, to, form, it, into, briquettes]"
781,725,you,have,[step]
782,725,you,see,[it]
783,725,you,have,"[health, benefits]"
784,725,you,have,[benefits]
785,725,you,have,[benefits]
786,725,people,make,"[cooking, fuel]"
787,725,they,generate,[income]
788,725,they,save,[money]
789,725,they,go,"[that, to, spend, on, charcoal]"
790,725,they,produce,[excess]
791,725,they,sell,[it]
792,725,who,make,[own]
793,725,you,have,"[trade, offs]"
794,725,i,find,[that]
795,725,it,take,[us]
796,725,i,mean,[world]
797,725,i,mean,[world]
798,725,women,spend,[hours]
799,725,i,mean,[world]
800,725,materials,mean,"[roofing, tiles]"
