term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
70s,2,2,4,3,1,1,4,3,2,1,2,5,4,2,2,3
71,0,1,1,0,1,0,1,0,0,0,0,3,3,0,0,0
72,0,0,1,1,2,1,7,2,3,1,1,0,0,2,5,0
720,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
73,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
74,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,2
747,0,3,0,0,1,1,0,1,0,0,0,0,1,0,1,5
747s,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,1,2,3,2,2,5,7,6,3,8,4,10,6,1,4,12
750,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
76,0,0,0,0,5,0,0,1,1,1,0,0,3,1,2,0
77,0,0,0,4,1,0,0,0,0,3,0,1,1,0,2,0
78,0,0,3,0,1,1,0,0,0,0,0,1,0,1,0,1
780,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,2,1,0,1,0,0,1,0,1,0,0,1,1,2,0,0
7th,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
80,5,3,15,3,7,10,11,12,12,6,5,11,6,13,14,11
800,3,1,1,3,3,4,6,3,1,7,2,1,3,4,5,2
80s,0,2,7,0,6,4,5,1,3,1,0,4,6,3,2,1
81,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
82,0,0,0,0,1,0,1,2,1,0,0,0,0,1,2,1
822,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
83,1,0,0,0,1,4,0,0,1,0,0,0,0,1,1,1
84,0,0,0,1,1,1,0,1,2,0,0,2,0,1,0,2
841,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
85,1,1,2,1,3,5,1,1,0,0,1,2,0,2,5,3
855,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
86,0,0,3,0,2,1,0,0,0,1,1,0,0,0,2,0
87,0,0,2,1,1,0,0,4,0,0,0,0,0,2,0,2
88,1,0,1,2,2,2,0,0,0,0,1,0,3,0,0,0
89,0,0,1,0,1,4,0,0,0,0,2,1,0,0,1,0
90,2,7,3,9,5,4,9,9,6,9,2,8,11,5,14,12
900,1,0,1,2,3,1,0,1,1,2,3,2,2,1,6,0
90s,0,0,0,2,2,4,4,4,3,1,0,3,8,2,2,1
91,2,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0
911,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0
92,0,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2
93,1,0,1,5,1,2,0,1,2,0,2,1,1,2,6,1
94,2,1,1,2,1,0,0,0,1,1,2,1,0,3,3,0
95,1,0,2,7,4,3,2,3,2,5,0,3,4,2,1,0
96,0,2,1,1,2,4,2,5,0,0,0,1,3,2,2,1
97,0,0,1,0,2,3,0,2,1,0,1,1,2,0,0,0
